"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
Business and Financial Operations Occupations," 65,473 ", 222 ," 75,918 ", 363 ," 58,228 ", 612 ," 50,526 ", 195 ," 56,386 ", 682 ," 47,315 ", 305 ," 74,556 ", 636 ," 84,067 "," 1,198 "," 66,553 ", 362 ,
"Agents and business managers of artists, performers, and athletes"," 52,698 "," 7,222 "," 56,380 "," 10,992 "," 51,791 "," 5,639 "," 43,187 "," 4,515 "," 42,404 "," 6,352 "," 44,112 "," 7,974 "," 66,542 "," 9,657 "," 71,459 "," 6,908 "," 60,386 "," 18,596 ",
"Buyers and purchasing agents, farm products"," 66,643 "," 6,225 "," 70,549 "," 9,036 "," 57,352 "," 12,767 "," 52,495 "," 10,281 "," 51,955 "," 14,602 "," 55,550 "," 19,700 "," 80,665 "," 7,065 "," 81,633 "," 7,151 "," 76,283 "," 18,129 ",
"Wholesale and retail buyers, except farm products"," 43,186 "," 2,795 "," 44,504 "," 3,647 "," 42,345 "," 2,893 "," 37,168 "," 1,405 "," 40,281 "," 2,466 "," 35,059 "," 2,258 "," 52,404 "," 2,615 "," 51,582 "," 2,074 "," 55,132 "," 4,845 ",
"Purchasing agents, except wholesale, retail, and farm products"," 55,524 ", 963 ," 60,835 ", 841 ," 51,359 ", 655 ," 49,882 ", 981 ," 52,177 "," 1,255 "," 46,359 ", 867 ," 65,247 "," 2,198 "," 70,085 "," 2,392 "," 60,773 "," 1,299 ",
"Claims adjusters, appraisers, examiners, and investigators"," 53,469 "," 1,434 "," 61,361 ", 845 ," 50,228 ", 779 ," 48,546 "," 1,351 "," 53,588 "," 3,200 "," 46,664 ", 807 ," 60,850 ", 712 ," 64,785 "," 2,294 "," 56,017 "," 1,780 ",
Compliance officers," 70,186 "," 1,429 "," 74,443 "," 3,062 "," 65,328 "," 1,824 "," 56,982 "," 2,644 "," 61,853 "," 1,987 "," 52,165 "," 2,782 "," 76,162 "," 1,891 "," 81,223 "," 2,173 "," 71,580 ", 969 ,
Cost estimators," 64,643 "," 1,708 "," 66,478 "," 1,093 "," 50,575 "," 2,328 "," 60,844 "," 1,022 "," 62,392 "," 1,854 "," 46,305 "," 6,260 "," 74,083 "," 5,500 "," 76,747 "," 6,283 "," 62,961 "," 6,444 ",
Human resources workers," 60,004 "," 1,204 "," 68,921 "," 3,407 "," 56,304 ", 806 ," 50,183 ", 590 ," 58,992 "," 4,251 "," 47,266 ", 830 ," 66,973 "," 1,303 "," 76,147 "," 2,860 "," 64,048 "," 2,226 ",
"Compensation, benefits, and job analysis specialists"," 55,325 "," 2,653 "," 65,262 "," 6,028 "," 52,054 "," 1,837 "," 49,332 "," 2,308 "," 57,500 "," 6,469 "," 48,587 "," 2,214 "," 64,159 "," 4,947 "," 67,279 "," 5,378 "," 61,406 "," 4,316 ",
Training and development specialists," 60,213 "," 1,995 "," 66,229 "," 2,826 "," 53,935 "," 3,605 "," 50,538 "," 2,393 "," 57,475 "," 5,123 "," 45,639 "," 2,484 "," 69,576 "," 2,639 "," 74,054 "," 3,875 "," 64,725 "," 3,584 ",
Logisticians," 53,541 "," 2,348 "," 56,171 "," 1,605 "," 50,442 "," 1,380 "," 49,168 "," 2,663 "," 50,434 "," 2,797 "," 47,546 "," 4,249 "," 65,413 "," 4,125 "," 67,268 "," 3,311 "," 56,763 "," 8,241 ",
Management analysts," 85,404 "," 1,111 "," 92,065 "," 1,270 "," 77,398 "," 1,496 "," 66,351 "," 1,375 "," 70,336 "," 3,053 "," 63,993 "," 2,609 "," 91,690 ", 767 ," 100,214 "," 1,035 "," 82,446 "," 2,337 ",
"Meeting, convention, and event planners"," 48,292 "," 2,527 "," 45,872 "," 4,879 "," 49,417 "," 2,497 "," 42,342 "," 3,707 "," 44,839 "," 5,838 "," 41,657 "," 3,908 "," 51,091 ", 960 ," 47,511 "," 8,975 "," 51,330 ", 998 ,
Fundraisers," 66,807 "," 1,290 "," 80,906 "," 8,137 "," 65,264 "," 1,745 "," 43,961 "," 8,662 "," 35,031 "," 13,866 "," 49,060 "," 6,671 "," 68,821 "," 2,524 "," 84,840 "," 5,510 "," 66,184 "," 1,203 ",
Market research analysts and marketing specialists," 74,005 "," 3,221 "," 86,719 "," 3,363 "," 66,963 "," 1,742 "," 59,237 "," 3,931 "," 65,630 "," 4,623 "," 51,799 "," 2,191 "," 80,190 "," 3,134 "," 92,524 "," 5,515 "," 70,919 "," 1,429 ",
"Business operations specialists, all other"," 63,644 "," 2,903 "," 75,078 "," 3,188 "," 54,862 "," 2,496 "," 47,190 "," 1,366 "," 54,653 "," 3,373 "," 44,684 "," 2,082 "," 75,143 "," 2,509 "," 87,096 "," 5,255 "," 65,929 "," 1,781 ",
Accountants and auditors," 65,408 ", 423 ," 77,654 "," 1,918 "," 58,622 "," 1,124 "," 46,079 ", 732 ," 49,666 "," 2,769 "," 45,554 ", 784 ," 71,322 ", 371 ," 81,608 ", 570 ," 65,315 ", 565 ,
Appraisers and assessors of real estate," 60,734 "," 1,204 "," 62,483 "," 5,869 "," 50,397 "," 3,033 "," 50,752 "," 2,888 "," 55,550 "," 3,619 "," 46,078 "," 3,857 "," 66,957 "," 3,741 "," 70,403 "," 3,667 "," 58,844 "," 7,858 ",
Budget analysts," 71,768 "," 2,082 "," 75,786 "," 2,949 "," 69,787 "," 3,118 "," 61,621 "," 3,329 "," 66,099 "," 10,047 "," 60,956 "," 3,718 "," 75,542 "," 2,800 "," 76,624 "," 3,841 "," 73,523 "," 5,140 ",
Credit analysts," 55,703 "," 4,981 "," 60,407 "," 5,095 "," 52,142 "," 5,464 "," 46,948 "," 3,043 "," 42,384 "," 11,795 "," 47,220 "," 4,236 "," 61,467 "," 1,622 "," 61,594 "," 3,262 "," 61,336 "," 3,560 ",
Financial analysts," 84,973 "," 2,141 "," 96,912 "," 4,642 "," 75,181 "," 2,397 "," 57,171 "," 2,888 "," 55,018 "," 4,441 "," 59,499 "," 4,658 "," 89,571 "," 3,532 "," 100,530 "," 2,387 "," 78,720 "," 2,951 ",
Personal financial advisors," 94,458 "," 5,715 "," 102,246 "," 2,292 "," 70,727 "," 1,343 "," 59,120 "," 5,042 "," 70,950 "," 3,454 "," 51,160 "," 1,754 "," 101,783 ", 597 ," 112,900 "," 6,366 "," 80,810 "," 5,123 ",
Insurance underwriters," 61,931 "," 1,366 "," 76,127 "," 3,996 "," 57,225 "," 2,414 "," 51,685 ", 909 ," 52,904 "," 4,753 "," 51,425 "," 1,177 "," 71,935 "," 3,488 "," 81,712 "," 3,897 "," 63,945 "," 3,918 ",
Financial examiners," 80,763 "," 5,285 "," 87,085 "," 7,172 "," 70,824 "," 13,472 "," 41,359 "," 4,393 "," 49,119 "," 7,406 "," 31,960 "," 14,668 "," 90,181 "," 6,416 "," 91,277 "," 4,848 "," 83,641 "," 13,555 ",
Credit counselors and loan officers," 60,802 ", 938 ," 78,339 "," 4,004 "," 51,092 ", 802 ," 50,826 ", 908 ," 63,787 "," 4,043 "," 47,593 "," 1,852 "," 75,131 "," 3,699 "," 84,366 "," 3,566 "," 59,254 "," 4,671 ",
"Tax examiners and collectors, and revenue agents"," 51,978 "," 1,584 "," 62,529 "," 8,728 "," 50,395 "," 2,142 "," 44,933 "," 3,341 "," 62,135 "," 26,887 "," 41,939 "," 2,247 "," 60,788 "," 4,078 "," 62,678 "," 8,272 "," 60,251 "," 6,555 ",
Tax preparers," 56,509 "," 4,424 "," 70,593 "," 5,698 "," 49,850 "," 3,524 "," 40,291 "," 3,026 "," 37,469 "," 10,699 "," 40,503 "," 2,539 "," 69,722 "," 5,966 "," 80,262 "," 8,229 "," 60,769 "," 2,473 ",
"Financial specialists, all other"," 61,647 "," 3,533 "," 85,274 "," 14,545 "," 51,009 "," 1,355 "," 50,451 "," 7,144 "," 52,455 "," 7,549 "," 42,402 "," 10,987 "," 80,018 "," 9,043 "," 120,416 "," 24,771 "," 57,659 "," 10,288 ",
"Computer, Engineering, and Science Occupations"," 81,292 ", 197 ," 84,746 ", 571 ," 71,135 ", 356 ," 63,414 ", 729 ," 66,024 ", 460 ," 55,979 ", 681 ," 89,484 ", 655 ," 92,593 ", 541 ," 76,900 ", 467 ,
Computer and Mathematical Occupations," 82,808 ", 655 ," 86,579 ", 385 ," 74,515 ", 963 ," 66,052 ", 643 ," 68,717 "," 1,275 "," 60,216 ", 871 ," 91,219 ", 330 ," 95,374 ", 550 ," 81,339 ", 471 ,
Computer and information research scientists," 102,194 "," 6,514 "," 104,404 "," 9,136 "," 91,235 "," 30,576 "," 60,040 "," 39,032 "," 60,677 "," 42,013 "," 50,329 "," 12,714 "," 106,728 "," 9,407 "," 110,388 "," 7,281 "," 96,139 "," 26,544 ",
Computer systems analysts," 81,001 ", 540 ," 86,205 "," 1,021 "," 73,927 "," 2,005 "," 66,491 "," 1,423 "," 70,135 "," 3,042 "," 64,024 "," 1,998 "," 86,474 ", 976 ," 91,783 "," 1,265 "," 79,800 "," 2,093 ",
Information security analysts," 91,582 "," 1,639 "," 94,419 "," 4,268 "," 86,605 "," 2,569 "," 78,142 "," 7,176 "," 82,182 "," 6,670 "," 62,991 "," 9,669 "," 100,336 "," 2,565 "," 101,025 "," 2,085 "," 92,180 "," 3,585 ",
Computer programmers," 86,606 ", 992 ," 88,524 "," 2,472 "," 81,096 "," 1,691 "," 73,455 "," 3,210 "," 73,852 "," 3,454 "," 72,150 "," 7,718 "," 91,155 ", 826 ," 92,609 "," 2,214 "," 83,990 "," 3,083 ",
"Software developers, applications and systems software"," 101,222 ", 263 ," 102,452 ", 716 ," 89,872 "," 1,682 "," 89,855 "," 2,237 "," 92,658 "," 2,392 "," 73,489 "," 3,284 "," 102,091 ", 287 ," 105,580 "," 1,084 "," 91,844 "," 1,011 ",
Web developers," 65,906 "," 1,204 "," 70,335 "," 2,052 "," 59,696 "," 3,291 "," 56,188 "," 4,135 "," 60,372 "," 7,107 "," 46,902 "," 8,770 "," 68,911 "," 2,876 "," 72,725 "," 3,431 "," 61,129 "," 1,679 ",
Computer support specialists," 60,358 ", 510 ," 61,305 ", 509 ," 55,023 "," 1,733 "," 51,892 ", 608 ," 53,013 "," 1,695 "," 48,030 "," 2,850 "," 70,822 ", 962 ," 72,091 "," 1,132 "," 64,647 "," 3,373 ",
Database administrators," 81,806 "," 1,559 "," 91,279 "," 1,507 "," 61,343 "," 3,683 "," 65,969 "," 4,965 "," 83,129 "," 7,496 "," 52,245 "," 3,852 "," 86,451 "," 1,483 "," 92,310 "," 4,794 "," 71,260 "," 3,693 ",
Network and computer systems administrators," 74,250 "," 1,555 "," 75,474 "," 1,126 "," 69,549 "," 3,027 "," 70,980 ", 840 ," 71,778 "," 1,005 "," 62,243 "," 6,313 "," 78,804 "," 2,627 "," 80,280 "," 1,771 "," 73,280 "," 5,287 ",
Computer network architects," 99,339 "," 3,240 "," 99,018 "," 3,466 "," 100,802 "," 6,042 "," 85,716 "," 4,007 "," 86,079 "," 4,091 "," 81,530 "," 11,832 "," 103,159 "," 5,092 "," 102,473 "," 4,616 "," 110,951 "," 13,883 ",
"Computer occupations, all other"," 71,311 ", 585 ," 71,961 ", 615 ," 67,304 "," 1,838 "," 60,717 ", 780 ," 61,504 ", 911 ," 55,807 "," 1,921 "," 81,479 ", 760 ," 82,217 "," 1,511 "," 77,701 "," 3,339 ",
Actuaries," 120,541 "," 17,260 "," 131,490 "," 12,331 "," 101,385 "," 3,452 "," 43,855 "," 7,432 ", - , ** ," 37,117 "," 67,515 "," 121,653 "," 13,645 "," 132,497 "," 11,938 "," 101,709 "," 3,116 ",
Mathematicians," 121,912 "," 20,322 "," 130,431 "," 19,809 "," 81,991 "," 51,971 ", - , ** , - , ** , - , ** ," 122,083 "," 20,598 "," 130,431 "," 19,809 "," 82,207 "," 73,513 ",
Operations research analysts," 81,922 "," 1,237 "," 86,786 "," 3,844 "," 77,230 "," 2,446 "," 70,576 "," 2,020 "," 75,141 "," 4,407 "," 68,469 "," 2,674 "," 86,587 "," 1,459 "," 91,236 "," 2,737 "," 82,377 "," 3,084 ",
Statisticians," 82,322 "," 4,098 "," 85,640 "," 6,101 "," 80,949 "," 2,228 "," 63,180 "," 7,736 "," 71,222 "," 16,300 "," 61,466 "," 8,407 "," 85,383 "," 4,529 "," 87,203 "," 6,366 "," 81,792 "," 4,545 ",
Miscellaneous mathematical science occupations," 72,492 "," 23,880 "," 85,340 "," 19,980 "," 62,167 "," 24,974 "," 39,615 "," 100,770 "," 39,615 "," 100,770 ", - , ** ," 73,323 "," 22,858 "," 85,497 "," 16,498 "," 62,167 "," 24,974 ",
Architecture and Engineering Occupations," 82,181 ", 304 ," 84,541 ", 942 ," 72,380 "," 1,098 "," 62,743 ", 978 ," 65,308 ", 645 ," 52,126 ", 912 ," 91,947 ", 341 ," 95,024 "," 1,004 "," 80,891 ", 727 ,
"Architects, except naval"," 76,852 "," 1,361 "," 81,551 "," 1,176 "," 62,661 "," 3,425 "," 66,241 "," 10,368 "," 72,241 "," 8,365 "," 50,499 "," 12,914 "," 77,312 "," 2,489 "," 82,156 "," 1,518 "," 64,216 "," 3,867 ",
"Surveyors, cartographers, and photogrammetrists"," 61,960 "," 3,277 "," 63,655 "," 4,476 "," 55,840 "," 2,205 "," 55,556 "," 7,608 "," 55,350 "," 9,545 "," 56,110 "," 16,836 "," 63,711 "," 4,148 "," 66,422 "," 6,743 "," 55,793 "," 3,589 ",
Aerospace engineers," 104,201 "," 3,027 "," 106,021 "," 2,980 "," 94,973 "," 5,858 "," 88,560 "," 6,046 "," 90,545 "," 5,191 "," 61,679 "," 20,358 "," 107,976 "," 2,712 "," 109,789 "," 2,659 "," 97,169 "," 5,530 ",
Agricultural engineers," 84,283 "," 8,311 "," 86,705 "," 10,423 ", - , ** ," 51,318 "," 28,269 "," 51,318 "," 28,269 ", - , ** ," 87,596 "," 11,154 "," 90,609 "," 9,592 ", - , ** ,
Biomedical engineers," 82,345 "," 7,015 "," 82,635 "," 8,389 "," 80,583 "," 13,719 "," 67,083 "," 9,279 "," 67,900 "," 9,287 "," 42,483 "," 189,465 "," 87,435 "," 10,507 "," 91,410 "," 13,923 "," 82,527 "," 12,128 ",
Chemical engineers," 101,393 "," 1,072 "," 102,456 "," 7,202 "," 86,019 "," 6,471 "," 82,176 "," 7,286 "," 83,697 "," 6,948 "," 75,011 "," 53,252 "," 102,259 "," 4,202 "," 110,163 "," 7,069 "," 87,149 "," 6,730 ",
Civil engineers," 89,358 "," 2,378 "," 90,919 "," 1,050 "," 77,020 "," 1,606 "," 70,482 "," 3,406 "," 71,563 "," 3,566 "," 57,131 "," 7,794 "," 91,425 "," 1,045 "," 92,515 "," 2,334 "," 78,956 "," 2,356 ",
Computer hardware engineers," 95,883 "," 7,127 "," 97,606 "," 7,354 "," 91,250 "," 7,550 "," 70,847 "," 10,756 "," 71,658 "," 13,541 "," 51,045 "," 32,998 "," 101,541 "," 1,436 "," 101,806 "," 1,542 "," 92,112 "," 18,499 ",
Electrical and electronics engineers," 98,506 "," 2,635 "," 100,180 ", 858 ," 81,841 "," 3,265 "," 77,043 "," 3,916 "," 79,356 "," 4,988 "," 62,341 "," 17,334 "," 101,493 ", 493 ," 101,882 ", 511 ," 87,228 "," 8,007 ",
Environmental engineers," 82,447 "," 6,591 "," 86,401 "," 8,471 "," 77,465 "," 5,907 "," 65,943 "," 9,860 "," 66,645 "," 8,773 "," 58,537 "," 38,828 "," 86,657 "," 6,443 "," 90,931 "," 4,499 "," 77,990 "," 6,618 ",
"Industrial engineers, including health and safety"," 80,733 ", 744 ," 81,216 ", 869 ," 77,730 "," 3,429 "," 66,148 "," 1,397 "," 68,925 "," 3,791 "," 56,724 "," 3,569 "," 85,849 "," 1,857 "," 86,832 "," 2,260 "," 82,832 "," 2,820 ",
Marine engineers and naval architects," 91,506 "," 2,930 "," 93,731 "," 6,957 "," 80,877 "," 15,377 "," 62,067 "," 20,036 "," 66,852 "," 24,106 ", - , ** ," 96,176 "," 6,939 "," 100,090 "," 6,967 "," 81,736 "," 8,341 ",
Materials engineers," 82,429 "," 2,971 "," 82,485 "," 3,187 "," 81,897 "," 6,709 "," 73,278 "," 3,367 "," 72,715 "," 3,325 "," 82,900 "," 60,405 "," 86,761 "," 3,514 "," 87,497 "," 5,242 "," 81,527 "," 8,518 ",
Mechanical engineers," 86,117 "," 1,129 "," 86,193 "," 1,206 "," 85,389 "," 3,625 "," 75,592 "," 1,454 "," 75,924 "," 1,306 "," 58,361 "," 13,800 "," 90,536 ", 763 ," 90,735 ", 807 ," 86,850 "," 3,483 ",
"Mining and geological engineers, including mining safety engineers"," 96,798 "," 10,446 "," 96,415 "," 11,610 "," 115,370 "," 51,360 "," 83,704 "," 21,698 "," 83,299 "," 27,037 ", - , ** ," 101,741 "," 20,285 "," 101,246 "," 15,616 "," 116,991 "," 47,569 ",
Nuclear engineers," 96,132 "," 8,653 "," 99,346 "," 9,858 "," 80,969 "," 43,063 "," 97,495 "," 18,907 "," 102,263 "," 72,113 ", - , ** ," 92,066 "," 11,866 "," 95,656 "," 11,617 "," 64,420 "," 48,790 ",
Petroleum engineers," 142,356 "," 14,513 "," 150,905 "," 15,413 "," 119,559 "," 38,051 "," 92,636 "," 25,897 "," 93,479 "," 26,290 "," 76,333 "," 53,769 "," 151,373 "," 14,121 "," 162,412 "," 34,085 "," 123,636 "," 39,138 ",
"Engineers, all other"," 95,220 "," 1,202 "," 96,649 "," 1,279 "," 87,381 "," 3,308 "," 76,117 "," 1,348 "," 76,648 "," 1,487 "," 67,054 "," 8,095 "," 100,366 ", 448 ," 100,982 ", 479 ," 90,660 "," 1,523 ",
Drafters," 55,371 "," 1,250 "," 56,472 "," 1,227 "," 50,908 "," 1,617 "," 55,607 "," 1,259 "," 56,344 "," 1,277 "," 50,900 "," 3,279 "," 54,062 "," 3,383 "," 57,360 "," 4,412 "," 50,914 "," 1,554 ",
