,company_id,company_name,last_year_of_employment,location,job_type,job_level,department,job_title,equal_opportunity,leadership_female_representation,women_management_opportunities,maternity_adoptive_leave,family_growth_support,paid_time_off,flexible_work_hours,ability_to_telecommute,salary_satisfaction,sponsorship_or_mentorship_program,learning_opportunities,wellness_initiatives,employer_responsiveness,people_you_work_with,social_activities_environment,overall_satisfaction,asked_pay_raise_last_12_months,think_pt_buiz_doing_enough_to_address_gender_pay_gap,think_gov_doing_enough_to_address_gender_pay_gap,confidence_in_ability_to_negotiate_salary,sex_orientation,gender,marital_status,children,education,salary,opportunity,family,schedule_flex,enrichment,culture
13,13,Jerónimo Martins,2004,Leiria,Part-time,Mid-Level,Management,Electrician,4.857269140357936,5,3,3.0,7,1.0,4.0,4,4.0,8,4.0,3.0,4,4.0,4,4.21,0,1,0,2.0,Heterosexual,Non-Binary,0,1,2,32180.41,4.29,5.0,3.0,4.75,4.0
14,14,Ironhack,2019,Guarda,Other,Early Career,Business Development,Relationship Manager,3.4069943237854523,6,4,3.0,6,4.0,2.0,4,2.0,8,0.0,3.0,5,4.0,5,4.04,0,1,0,2.0,Heterosexual,Female,0,1,0,12488.91,4.47,4.5,3.33,3.25,4.67
15,15,TIMWE,2020,Beja,Part-time,Mid-Level,Production,Medical Technologist,3.874249813820167,5,6,3.0,8,2.0,2.0,6,4.0,6,5.0,3.0,4,1.0,8,4.52,2,0,0,1.0,Heterosexual,Female,0,1,0,8406.63,4.96,5.5,3.33,4.5,4.33
16,16,The Navigator Company,2020,Leiria,Contract,Mid-Level,Management,Test Engineer,4.099570447175888,5,5,4.0,7,3.0,3.0,6,3.0,5,3.0,4.0,7,3.0,6,4.66,1,1,0,4.0,Heterosexual,Male,0,1,0,21280.97,4.7,5.5,4.0,3.75,5.33
17,17,Sovena Group,2002,Madeira,Internship,Early Career,Marketing,Neurologist,2.2343509562284245,6,7,4.0,6,1.0,3.0,6,3.0,4,4.0,3.0,6,4.0,4,4.32,0,0,1,3.0,Heterosexual,Female,1,1,1,20903.35,5.08,5.0,3.33,3.5,4.67
18,18,Vista Alegre,2020,Évora,Internship,Mid-Level,Business Development,Marketing Analyst,2.021441809144475,8,8,2.0,6,3.0,2.0,6,4.0,4,4.0,2.0,7,4.0,6,4.57,1,1,0,2.0,Heterosexual,Male,1,0,2,13353.66,6.01,4.0,3.67,3.5,5.67
19,19,Iberomoldes,2020,Coimbra,Other,Early Career,Communications,Security Manager,2.4466237824325,6,6,2.0,6,3.0,3.0,7,2.0,5,2.0,4.0,9,3.0,7,4.55,1,1,0,2.0,Heterosexual,Female,1,1,1,27001.22,4.82,4.0,4.33,3.25,6.33
20,20,Tupam editores,2020,Santarém,Temporary,Mid-Level,Customer Service,Biomedical Equipment Technician,2.2709400882431954,4,5,1.0,7,3.0,2.0,6,3.0,6,3.0,3.0,11,5.0,7,4.57,2,0,0,4.0,Bisexual,Male,0,0,1,11870.11,3.76,4.0,3.67,3.75,7.67
21,21,MEO,2020,Viseu,Part-time,Mid-Level,Engineering,Customer Service Associate,4.072659838717316,4,3,1.0,6,2.0,4.0,6,4.0,9,3.0,2.0,4,2.0,7,4.0,2,0,1,3.0,Heterosexual,Female,1,1,2,16098.99,3.69,3.5,4.0,4.5,4.33
22,22,Energias de Portugal (EDP),2020,Setúbal,Temporary,Senior-Level,Legal,Billing Specialist,4.804023664085462,6,4,3.0,6,4.0,3.0,7,1.0,7,4.0,2.0,8,3.0,4,4.52,2,1,1,5.0,Heterosexual,Female,0,0,2,10477.36,4.93,4.5,4.67,3.5,5.0
23,23,Cofina,2009,Lisboa,Part-time,Senior-Level,Accounting & Finance,Medical Assistant,2.6634278203222026,7,7,3.0,8,4.0,3.0,5,3.0,4,3.0,2.0,11,5.0,6,5.08,1,1,1,3.0,Heterosexual,Female,1,1,0,17754.55,5.55,5.5,4.0,3.0,7.33
24,24,Tabaqueira,2020,Beja,Temporary,Early Career,Business Development,HR Administrator,2.9617263099772364,6,5,2.0,5,3.0,3.0,6,2.0,6,4.0,3.0,8,3.0,7,4.38,2,0,1,3.0,Gay/Lesbian,Female,1,0,0,20052.53,4.65,3.5,4.0,3.75,6.0
25,25,Porto Editora,2018,Setúbal,Contract,Executive,Human Resources,Sales Associate,3.701400311891771,6,6,3.0,8,2.0,3.0,8,3.0,5,5.0,3.0,5,3.0,6,4.75,1,1,0,3.0,Heterosexual,Female,1,1,1,30194.33,5.23,5.5,4.33,4.0,4.67
26,26,Impresa,2012,Portalegre,Part-time,Early Career,Admin,Operations Specialist,2.1307370096873504,4,8,2.0,4,3.0,1.0,5,2.0,9,3.0,2.0,5,2.0,7,3.88,0,1,0,3.0,Other,Non-Binary,0,1,0,13624.5,4.71,3.0,3.0,4.0,4.67
27,27,TIMWE,2002,Viana do Castelo,Internship,Executive,Sales,Mechanical Engineering,4.699944489050733,6,5,2.0,9,4.0,3.0,5,2.0,5,3.0,3.0,6,2.0,7,4.6,1,1,0,3.0,Other,Male,1,0,0,22837.55,5.23,5.5,4.0,3.25,5.0
28,28,Glintt,2020,Évora,Full-time,Mid-Level,Research & Development,Assistant Property Manager,2.0580542424330925,6,5,2.0,4,1.0,3.0,9,3.0,6,3.0,2.0,5,4.0,6,4.04,2,1,0,2.0,Heterosexual,Male,1,1,2,14262.2,4.35,3.0,4.33,3.5,5.0
29,29,Tupam editores,2020,Porto,Internship,Senior-Level,Human Resources,Contract Specialist,3.326834502028511,9,4,5.0,7,2.0,4.0,6,4.0,5,4.0,3.0,7,3.0,6,4.95,2,1,1,2.0,Other,Female,1,0,2,0.0,5.44,6.0,4.0,4.0,5.33
30,30,"CTT Correios de Portugal, S.A. (CTT)",2020,Viseu,Temporary,Senior-Level,Customer Service,Purchasing Manager,3.17034227357399,6,4,3.0,7,4.0,3.0,4,1.0,4,2.0,4.0,6,3.0,6,4.16,0,1,0,2.0,Heterosexual,Male,1,0,1,17464.94,4.39,5.0,3.67,2.75,5.0
31,31,SAPO,2020,Braga,Other,Early Career,Legal,Coordinator,2.7686745343921793,7,9,4.0,6,1.0,2.0,4,3.0,4,2.0,5.0,14,4.0,9,5.22,0,0,1,-0.0,Heterosexual,Female,0,1,2,0.0,6.26,5.0,2.33,3.5,9.0
32,32,Glintt,2020,Coimbra,Full-time,Early Career,Other,Package Handler,1.76945265125745,5,9,2.0,9,3.0,1.0,7,3.0,4,2.0,1.0,5,3.0,4,4.19,2,1,0,3.0,Gay/Lesbian,Female,0,1,1,12305.99,5.26,5.5,3.67,2.5,4.0
33,33,NOS,2011,Beja,Internship,Mid-Level,Human Resources,Scheduler,4.32449885832545,3,4,5.0,6,3.0,3.0,3,2.0,6,4.0,3.0,4,3.0,7,4.14,0,0,1,3.0,Other,Other,1,1,1,33472.93,3.77,5.5,3.0,3.75,4.67
34,34,Altri,2020,Açores,Contract,Early Career,Other,Forensic Scientist,3.2691054040246614,8,7,4.0,5,4.0,4.0,7,3.0,6,3.0,1.0,5,3.0,8,4.83,0,1,0,2.0,Heterosexual,Male,1,0,1,15302.94,6.09,4.5,5.0,3.25,5.33
35,35,Vista Alegre,2011,Viseu,Contract,Senior-Level,Production,Internal Auditor,3.895061675587309,7,4,3.0,7,3.0,3.0,5,2.0,4,2.0,3.0,6,4.0,8,4.48,0,1,1,3.0,Gay/Lesbian,Male,1,0,0,10915.36,4.97,5.0,3.67,2.75,6.0
36,36,Media Capital,2004,Açores,Contract,Senior-Level,Engineering,Museum Curator,2.4151144960583752,6,4,3.0,7,5.0,3.0,3,2.0,5,4.0,4.0,7,2.0,4,4.18,2,0,0,3.0,Heterosexual,Male,0,0,1,26554.28,4.14,5.0,3.67,3.75,4.33
37,37,Corticeira Amorim,2018,Faro,Full-time,Senior-Level,Operations,Game Designer,3.5676855314135127,3,6,3.0,4,2.0,3.0,5,1.0,4,3.0,2.0,7,5.0,6,3.9,1,1,1,4.0,Other,Male,0,0,0,7731.5,4.19,3.5,3.33,2.5,6.0
38,38,TIMWE,2020,Faro,Temporary,Mid-Level,Design,Data Entry,4.640917740128371,6,5,4.0,6,1.0,3.0,6,3.0,6,4.0,1.0,7,2.0,6,4.41,1,0,0,1.0,Gay/Lesbian,Other,1,0,1,32392.64,5.21,5.0,3.33,3.5,5.0
39,39,Caixa Geral de Depósitos,2003,Castelo Branco,Full-time,Early Career,Design,Maintenance Technician,4.414172964882318,5,4,3.0,4,4.0,3.0,6,4.0,6,5.0,4.0,5,3.0,6,4.34,1,1,1,3.0,Other,Male,1,0,1,7281.28,4.47,3.5,4.33,4.75,4.67
40,40,Altri,2020,Setúbal,Full-time,Executive,Design,Communications Manager,3.0542828596022855,5,5,4.0,4,2.0,1.0,5,3.0,6,2.0,2.0,6,4.0,5,3.85,1,1,0,3.0,Gay/Lesbian,Male,0,0,2,21444.71,4.35,4.0,2.67,3.25,5.0
41,41,Unicer Brewery,2011,Açores,Full-time,Mid-Level,Other,Supply Chain Manager,2.6605633270615563,6,5,4.0,4,4.0,3.0,5,1.0,3,3.0,2.0,7,0.0,6,3.83,1,0,0,4.0,Heterosexual,Male,0,0,2,14138.36,4.55,4.0,4.0,2.25,4.33
42,42,EFACEC,2020,Madeira,Temporary,Mid-Level,Accounting & Finance,Production Coordinator,4.836594640462387,5,5,3.0,4,3.0,3.0,6,2.0,4,3.0,2.0,4,3.0,7,3.97,1,0,0,4.0,Heterosexual,Female,0,0,1,24309.19,4.95,3.5,4.0,2.75,4.67
43,43,Martifer,2020,Castelo Branco,Other,Senior-Level,Operations,Actor,3.8539880128784065,7,7,4.0,5,1.0,4.0,4,4.0,7,3.0,2.0,7,3.0,7,4.62,1,0,1,2.0,Heterosexual,Male,1,0,0,12563.97,5.95,4.5,3.0,4.0,5.67
44,44,The Navigator Company,2016,Portalegre,Contract,Executive,Operations,Medical Receptionist,1.1786750959371588,4,6,3.0,3,2.0,2.0,3,3.0,3,5.0,2.0,5,2.0,6,3.33,1,0,1,2.0,Heterosexual,Female,0,0,2,13356.6,3.73,3.0,2.33,3.25,4.33
45,45,Biotecnol,2020,Coimbra,Contract,Early Career,Communications,Doctor,3.5287052893819113,7,7,3.0,7,3.0,4.0,6,3.0,6,2.0,3.0,6,3.0,8,4.87,1,0,0,3.0,Heterosexual,Male,0,0,0,16813.13,5.84,5.0,4.33,3.5,5.67
46,46,Banco Comercial Português,2020,Madeira,Full-time,Executive,Production,Clinic Manager,3.3592865822607196,8,7,3.0,7,2.0,3.0,4,4.0,4,4.0,3.0,8,2.0,6,4.64,2,0,1,3.0,Bisexual,Male,0,0,2,20911.09,6.12,5.0,3.0,3.75,5.33
47,47,SIC,2020,Portalegre,Contract,Executive,Research & Development,Accounting Manager,3.2819863522347585,6,9,4.0,7,4.0,3.0,7,3.0,4,5.0,2.0,6,4.0,3,4.82,2,0,0,3.0,Heterosexual,Male,0,0,0,12612.7,6.09,5.5,4.67,3.5,4.33
48,48,Grupo José de Mello,2010,Portalegre,Temporary,Executive,Other,Teacher,2.6436439150409536,6,5,4.0,6,3.0,4.0,8,4.0,4,4.0,3.0,4,3.0,6,4.53,2,1,1,3.0,Gay/Lesbian,Male,0,1,2,11678.06,4.55,5.0,5.0,3.75,4.33
49,49,MEO,2020,Coimbra,Full-time,Executive,Engineering,Teaching Assistant,3.76527554569727,4,7,1.0,6,1.0,3.0,5,5.0,5,3.0,2.0,5,3.0,9,4.17,1,0,0,3.0,Gay/Lesbian,Male,1,0,2,25074.22,4.92,3.5,3.0,3.75,5.67
50,50,Conservas Ramirez,2003,Porto,Internship,Senior-Level,Engineering,Crew Member,3.791434295329885,4,8,3.0,5,3.0,1.0,6,2.0,5,1.0,4.0,4,3.0,8,4.12,1,0,0,2.0,Heterosexual,Female,1,0,2,21967.61,5.26,4.0,3.33,3.0,5.0
51,51,Cimpor,2008,Faro,Other,Early Career,Engineering,Computer Systems Analyst,0.7414866603662755,4,4,5.0,5,3.0,2.0,7,3.0,6,2.0,3.0,10,4.0,8,4.55,2,1,0,3.0,Heterosexual,Male,1,1,2,24328.69,2.91,5.0,4.0,3.5,7.33
52,52,Redes Energéticas Nacionais (REN),2000,Aveiro,Internship,Senior-Level,Human Resources,Medical Sales Representative,4.157982842888355,4,6,2.0,4,2.0,3.0,4,3.0,6,3.0,3.0,7,2.0,8,4.03,2,0,0,2.0,Other,Male,1,0,1,21979.48,4.72,3.0,3.0,3.75,5.67
53,53,TAP Air Portugal,2020,Braga,Full-time,Mid-Level,Legal,Kindergarten Teacher,1.620879371870783,4,5,2.0,6,1.0,3.0,4,3.0,7,2.0,2.0,5,4.0,7,3.81,0,1,0,3.0,Heterosexual,Female,0,0,1,14632.35,3.54,4.0,2.67,3.5,5.33
54,54,Conservas Ramirez,2007,Évora,Part-time,Executive,Tech,Health Administrator,2.5348414670344663,6,7,2.0,4,2.0,0.0,5,1.0,6,3.0,1.0,8,4.0,7,3.92,2,1,1,3.0,Heterosexual,Male,1,1,2,27098.49,5.18,3.0,2.33,2.75,6.33
55,55,Central de Cervejas,2020,Porto,Part-time,Executive,Human Resources,Assistant Manager,1.8276463548138397,9,5,2.0,6,4.0,4.0,6,3.0,9,3.0,3.0,6,2.0,7,4.69,1,0,1,3.0,Heterosexual,Male,1,0,0,23399.81,5.28,4.0,4.67,4.5,5.0
56,56,TIMWE,2020,Porto,Contract,Early Career,Design,Correctional Officer,2.227132087177258,6,9,3.0,6,3.0,3.0,4,2.0,4,3.0,4.0,9,3.0,7,4.63,0,1,1,2.0,Heterosexual,Female,1,0,1,20733.29,5.74,4.5,3.33,3.25,6.33
57,57,Simoldes,2020,Leiria,Contract,Early Career,Research & Development,Document Controller,0.0,6,5,3.0,6,2.0,4.0,4,3.0,5,3.0,3.0,6,3.0,5,3.93,2,0,0,3.0,Heterosexual,Male,0,1,0,18538.01,3.67,4.5,3.33,3.5,4.67
58,58,SIC,2020,Beja,Part-time,Executive,Business Intelligence,Analytics Manager,4.145364373882453,9,4,4.0,8,4.0,2.0,6,4.0,9,3.0,3.0,6,3.0,6,5.09,2,1,0,4.0,Heterosexual,Male,0,0,1,16726.77,5.72,6.0,4.0,4.75,5.0
59,59,UMM,2001,Açores,Contract,Senior-Level,Product,exercise physiologist,4.179636334898411,4,5,4.0,6,3.0,3.0,4,3.0,3,5.0,1.0,8,4.0,7,4.41,2,1,0,2.0,Gay/Lesbian,Female,0,1,1,20669.91,4.39,5.0,3.33,3.0,6.33
60,60,The Navigator Company,2019,Viana do Castelo,Part-time,Senior-Level,Operations,Data Scientist,3.5341436939834843,9,5,2.0,3,4.0,2.0,6,3.0,4,4.0,2.0,5,2.0,6,3.98,2,0,0,4.0,Heterosexual,Female,0,0,2,35123.61,5.84,2.5,4.0,3.25,4.33
61,61,Impresa,2007,Viana do Castelo,Part-time,Executive,Tech,Residential Counselor,3.8910713867547004,5,6,4.0,4,3.0,1.0,4,4.0,3,3.0,3.0,4,4.0,9,4.11,2,1,1,3.0,Heterosexual,Male,1,0,1,18739.45,4.96,4.0,2.67,3.25,5.67
62,62,Biotecnol,2007,Viana do Castelo,Other,Executive,Human Resources,Treasurer,1.1575250314106857,5,5,1.0,5,1.0,4.0,6,3.0,4,4.0,3.0,7,3.0,7,3.91,1,1,1,3.0,Heterosexual,Female,1,0,0,22413.06,3.72,3.0,3.67,3.5,5.67
63,63,Tranquilidade,2009,Porto,Contract,Mid-Level,Tech,Dog Groomer,0.463725840179368,6,6,4.0,6,1.0,3.0,8,3.0,6,2.0,3.0,5,4.0,5,4.26,0,1,0,3.0,Heterosexual,Male,0,1,1,18742.31,4.15,5.0,4.0,3.5,4.67
64,64,Bial,2010,Vila Real,Contract,Senior-Level,Operations,Retail Associate,1.341534565138421,6,4,3.0,5,4.0,3.0,7,3.0,6,4.0,3.0,8,2.0,4,4.22,0,0,1,4.0,Heterosexual,Female,0,0,0,23153.71,3.78,4.0,4.67,4.0,4.67
65,65,Ironhack,2020,Évora,Full-time,Mid-Level,Marketing,Project Manager,3.663504791644349,5,4,5.0,3,3.0,3.0,8,2.0,6,4.0,4.0,4,3.0,6,4.24,1,1,0,2.0,Other,Male,0,0,0,28698.09,4.22,4.0,4.67,4.0,4.33
66,66,Lactogal,2018,Faro,Internship,Mid-Level,Product,Product Owner,4.577230605449387,6,4,3.0,6,3.0,2.0,7,2.0,3,4.0,5.0,6,5.0,8,4.64,0,1,0,2.0,Gay/Lesbian,Male,0,0,0,16372.26,4.86,4.5,4.0,3.5,6.33
67,67,Grupo José de Mello,2020,Leiria,Temporary,Mid-Level,Tech,Real Estate Agent,2.061502347535936,8,6,4.0,9,4.0,2.0,3,5.0,6,3.0,4.0,6,3.0,8,5.0,0,1,0,1.0,Heterosexual,Female,1,0,0,28443.45,5.35,6.5,3.0,4.5,5.67
68,68,Logoplaste,2020,Faro,Part-time,Executive,Customer Service,Accountant,3.1094208263115153,4,6,2.0,5,3.0,4.0,8,2.0,6,4.0,3.0,4,4.0,6,4.26,0,1,0,3.0,Heterosexual,Non-Binary,1,1,0,17605.43,4.37,3.5,5.0,3.75,4.67
69,69,Fábrica Nacional de Munições de Armas Ligeiras,2020,Viseu,Contract,Early Career,Tech,Business Development Representative,3.110646799607575,4,8,3.0,6,3.0,3.0,7,4.0,6,2.0,1.0,6,2.0,7,4.42,0,1,0,1.0,Heterosexual,Non-Binary,0,0,0,9418.76,5.04,4.5,4.33,3.25,5.0
70,70,Pingo Doce,2020,Lisboa,Other,Mid-Level,IT,Waiter,1.9906034471952505,7,5,1.0,9,4.0,5.0,6,5.0,4,3.0,2.0,4,5.0,7,4.7,1,0,0,3.0,Other,Female,0,1,1,31063.76,4.66,5.0,5.0,3.5,5.33
71,71,Rádio e Televisão de Portugal,2020,Portalegre,Internship,Senior-Level,IT,Janitor,1.722390773175157,7,8,5.0,5,4.0,2.0,8,1.0,6,3.0,0.0,6,4.0,5,4.55,2,1,0,3.0,Heterosexual,Other,0,0,0,17520.72,5.57,5.0,4.67,2.5,5.0
72,72,Martifer,2020,Açores,Internship,Early Career,Engineering,Clinical Coordinator,3.851802558648357,5,7,3.0,4,4.0,2.0,5,3.0,5,2.0,3.0,5,2.0,6,4.01,0,0,1,2.0,Heterosexual,Male,0,1,2,20927.59,5.28,3.5,3.67,3.25,4.33
73,73,CMS-Helmets,2020,Madeira,Temporary,Executive,IT,Aerospace Engineer,2.4874090642358775,4,5,3.0,7,3.0,2.0,6,3.0,12,2.0,4.0,5,4.0,6,4.55,0,1,1,3.0,Heterosexual,Female,1,1,2,7366.1,3.83,5.0,3.67,5.25,5.0
74,74,Churchill's Port,2020,Guarda,Contract,Mid-Level,Human Resources,Line Cook,3.3812435685149707,10,5,4.0,5,3.0,4.0,4,4.0,5,4.0,3.0,5,2.0,10,4.79,2,1,1,3.0,Gay/Lesbian,Female,0,1,2,6719.66,6.13,4.5,3.67,4.0,5.67
75,75,Central de Cervejas,2020,Viana do Castelo,Other,Mid-Level,Operations,Tutor,1.7328157813858407,5,6,3.0,6,3.0,3.0,6,2.0,6,2.0,4.0,6,3.0,6,4.25,2,1,0,1.0,Heterosexual,Female,0,1,2,17105.33,4.24,4.5,4.0,3.5,5.0
76,76,Banco Comercial Português,2020,Guarda,Other,Mid-Level,Marketing,Statistician,2.70782676095813,6,6,3.0,7,2.0,3.0,8,0.0,7,4.0,1.0,7,3.0,5,4.45,1,0,0,3.0,Bisexual,Male,1,1,2,22053.34,4.9,5.0,4.33,3.0,5.0
77,77,Move Interactive,2002,Beja,Temporary,Early Career,Research & Development,Pastor,3.304629633014445,5,3,2.0,5,3.0,3.0,6,3.0,4,3.0,4.0,4,4.0,5,3.82,1,1,1,5.0,Other,Female,0,1,0,16709.24,3.77,3.5,4.0,3.5,4.33
78,78,Lactogal,2015,Viseu,Other,Early Career,Production,Account Executive,3.6849868798765053,5,5,4.0,7,3.0,5.0,7,4.0,9,3.0,4.0,5,3.0,6,4.95,2,1,1,3.0,Other,Female,1,1,1,16033.08,4.56,5.5,5.0,5.0,4.67
79,79,Sonae,2004,Beja,Full-time,Early Career,Accounting & Finance,Surgical Technologist,3.461873159260254,7,5,3.0,7,3.0,4.0,10,3.0,7,4.0,4.0,6,3.0,5,5.0,1,1,0,3.0,Gay/Lesbian,Non-Binary,0,0,0,7291.9,5.15,5.0,5.67,4.5,4.67
80,80,Pingo Doce,2020,Viana do Castelo,Other,Mid-Level,Business Development,Creative Director,2.492020748862851,7,5,3.0,5,3.0,4.0,4,3.0,8,4.0,4.0,4,2.0,5,4.18,0,1,1,4.0,Heterosexual,Male,1,0,2,15951.67,4.83,4.0,3.67,4.75,3.67
81,81,Bial,2015,Faro,Contract,Mid-Level,Customer Service,Pharmacy Technician,4.384868589694945,9,5,4.0,7,3.0,2.0,9,3.0,5,3.0,2.0,3,4.0,3,4.58,1,0,1,3.0,Gay/Lesbian,Non-Binary,0,1,1,0.0,6.13,5.5,4.67,3.25,3.33
82,82,Portugal Telecom,2020,Braga,Other,Mid-Level,Operations,Valet,2.321864319549817,7,5,3.0,3,3.0,3.0,7,2.0,7,3.0,3.0,8,4.0,6,4.37,0,0,0,3.0,Gay/Lesbian,Female,0,0,1,11539.58,4.77,3.0,4.33,3.75,6.0
83,83,SIC,2020,Porto,Internship,Senior-Level,Business Intelligence,Universal Banker,3.2951497602614523,6,7,5.0,6,2.0,2.0,6,3.0,9,3.0,2.0,4,2.0,5,4.44,1,1,0,1.0,Heterosexual,Female,1,0,1,22018.68,5.43,5.5,3.33,4.25,3.67
84,84,Chipidea,2020,Guarda,Full-time,Mid-Level,Legal,Lineman,2.0057094712052033,6,4,2.0,6,4.0,4.0,4,3.0,5,2.0,2.0,8,5.0,5,4.2,0,1,1,3.0,Bisexual,Female,0,1,1,12275.21,4.0,4.0,4.0,3.0,6.0
85,85,Corticeira Amorim,2008,Beja,Temporary,Mid-Level,Operations,Environmental Scientist,3.439905731523263,8,4,1.0,5,3.0,3.0,3,5.0,6,1.0,2.0,5,3.0,5,3.8,0,0,0,3.0,Heterosexual,Non-Binary,1,0,1,16534.5,5.15,3.0,3.0,3.5,4.33
86,86,Chipidea,2020,Évora,Full-time,Early Career,Tech,Content Manager,3.0678119949205107,5,6,1.0,5,2.0,2.0,5,3.0,5,1.0,3.0,5,2.0,9,3.8,0,1,0,4.0,Other,Male,1,1,2,12873.87,4.69,3.0,3.0,3.0,5.33
87,87,Churchill's Port,2020,Porto,Part-time,Early Career,Business Intelligence,Contract Specialist,2.4911143038448773,8,6,4.0,5,4.0,1.0,7,3.0,4,5.0,3.0,5,3.0,9,4.68,0,1,1,3.0,Bisexual,Female,0,1,1,27681.0,5.5,4.5,4.0,3.75,5.67
88,88,Renova,2020,Porto,Internship,Senior-Level,Sales,Baker,4.718009499702664,5,7,4.0,8,4.0,2.0,3,3.0,3,3.0,4.0,5,4.0,4,4.43,0,1,0,5.0,Gay/Lesbian,Male,0,0,0,33481.22,5.57,6.0,3.0,3.25,4.33
89,89,Move Interactive,2020,Braga,Other,Early Career,Engineering,Medical Director,2.0921227015221224,3,3,3.0,10,1.0,3.0,7,3.0,6,2.0,3.0,8,5.0,8,4.67,2,0,1,3.0,Heterosexual,Male,0,0,1,3126.34,2.7,6.5,3.67,3.5,7.0
