major_category,minor_category,Occupational Category,total_salary,total_mens_salary,total_womens_salary,total_less_bachelors,mens_less_bachelors,womens_less_bachelors,total_with_bachelors,men_with_bachelors,women_with_bachelors,
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Cost estimators," 64,643 "," 66,478 "," 50,575 "," 60,844 "," 62,392 "," 46,305 "," 74,083 "," 76,747 "," 62,961 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Human resources workers," 60,004 "," 68,921 "," 56,304 "," 50,183 "," 58,992 "," 47,266 "," 66,973 "," 76,147 "," 64,048 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Compensation, benefits, and job analysis specialists"," 55,325 "," 65,262 "," 52,054 "," 49,332 "," 57,500 "," 48,587 "," 64,159 "," 67,279 "," 61,406 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Training and development specialists," 60,213 "," 66,229 "," 53,935 "," 50,538 "," 57,475 "," 45,639 "," 69,576 "," 74,054 "," 64,725 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Logisticians," 53,541 "," 56,171 "," 50,442 "," 49,168 "," 50,434 "," 47,546 "," 65,413 "," 67,268 "," 56,763 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Management analysts," 85,404 "," 92,065 "," 77,398 "," 66,351 "," 70,336 "," 63,993 "," 91,690 "," 100,214 "," 82,446 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Meeting, convention, and event planners"," 48,292 "," 45,872 "," 49,417 "," 42,342 "," 44,839 "," 41,657 "," 51,091 "," 47,511 "," 51,330 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Fundraisers," 66,807 "," 80,906 "," 65,264 "," 43,961 "," 35,031 "," 49,060 "," 68,821 "," 84,840 "," 66,184 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Market research analysts and marketing specialists," 74,005 "," 86,719 "," 66,963 "," 59,237 "," 65,630 "," 51,799 "," 80,190 "," 92,524 "," 70,919 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Business operations specialists, all other"," 63,644 "," 75,078 "," 54,862 "," 47,190 "," 54,653 "," 44,684 "," 75,143 "," 87,096 "," 65,929 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Accountants and auditors," 65,408 "," 77,654 "," 58,622 "," 46,079 "," 49,666 "," 45,554 "," 71,322 "," 81,608 "," 65,315 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Appraisers and assessors of real estate," 60,734 "," 62,483 "," 50,397 "," 50,752 "," 55,550 "," 46,078 "," 66,957 "," 70,403 "," 58,844 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Budget analysts," 71,768 "," 75,786 "," 69,787 "," 61,621 "," 66,099 "," 60,956 "," 75,542 "," 76,624 "," 73,523 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Credit analysts," 55,703 "," 60,407 "," 52,142 "," 46,948 "," 42,384 "," 47,220 "," 61,467 "," 61,594 "," 61,336 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Financial analysts," 84,973 "," 96,912 "," 75,181 "," 57,171 "," 55,018 "," 59,499 "," 89,571 "," 100,530 "," 78,720 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Personal financial advisors," 94,458 "," 102,246 "," 70,727 "," 59,120 "," 70,950 "," 51,160 "," 101,783 "," 112,900 "," 80,810 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Insurance underwriters," 61,931 "," 76,127 "," 57,225 "," 51,685 "," 52,904 "," 51,425 "," 71,935 "," 81,712 "," 63,945 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Financial examiners," 80,763 "," 87,085 "," 70,824 "," 41,359 "," 49,119 "," 31,960 "," 90,181 "," 91,277 "," 83,641 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Credit counselors and loan officers," 60,802 "," 78,339 "," 51,092 "," 50,826 "," 63,787 "," 47,593 "," 75,131 "," 84,366 "," 59,254 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Tax examiners and collectors, and revenue agents"," 51,978 "," 62,529 "," 50,395 "," 44,933 "," 62,135 "," 41,939 "," 60,788 "," 62,678 "," 60,251 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Tax preparers," 56,509 "," 70,593 "," 49,850 "," 40,291 "," 37,469 "," 40,503 "," 69,722 "," 80,262 "," 60,769 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Financial specialists, all other"," 61,647 "," 85,274 "," 51,009 "," 50,451 "," 52,455 "," 42,402 "," 80,018 "," 120,416 "," 57,659 ",
"Computer, Engineering, and Science Occupations",,"Computer, Engineering, and Science Occupations"," 81,292 "," 84,746 "," 71,135 "," 63,414 "," 66,024 "," 55,979 "," 89,484 "," 92,593 "," 76,900 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Computer and Mathematical Occupations," 82,808 "," 86,579 "," 74,515 "," 66,052 "," 68,717 "," 60,216 "," 91,219 "," 95,374 "," 81,339 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Computer and information research scientists," 102,194 "," 104,404 "," 91,235 "," 60,040 "," 60,677 "," 50,329 "," 106,728 "," 110,388 "," 96,139 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Computer systems analysts," 81,001 "," 86,205 "," 73,927 "," 66,491 "," 70,135 "," 64,024 "," 86,474 "," 91,783 "," 79,800 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Information security analysts," 91,582 "," 94,419 "," 86,605 "," 78,142 "," 82,182 "," 62,991 "," 100,336 "," 101,025 "," 92,180 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Computer programmers," 86,606 "," 88,524 "," 81,096 "," 73,455 "," 73,852 "," 72,150 "," 91,155 "," 92,609 "," 83,990 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,"Software developers, applications and systems software"," 101,222 "," 102,452 "," 89,872 "," 89,855 "," 92,658 "," 73,489 "," 102,091 "," 105,580 "," 91,844 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Web developers," 65,906 "," 70,335 "," 59,696 "," 56,188 "," 60,372 "," 46,902 "," 68,911 "," 72,725 "," 61,129 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Computer support specialists," 60,358 "," 61,305 "," 55,023 "," 51,892 "," 53,013 "," 48,030 "," 70,822 "," 72,091 "," 64,647 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Database administrators," 81,806 "," 91,279 "," 61,343 "," 65,969 "," 83,129 "," 52,245 "," 86,451 "," 92,310 "," 71,260 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Network and computer systems administrators," 74,250 "," 75,474 "," 69,549 "," 70,980 "," 71,778 "," 62,243 "," 78,804 "," 80,280 "," 73,280 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Computer network architects," 99,339 "," 99,018 "," 100,802 "," 85,716 "," 86,079 "," 81,530 "," 103,159 "," 102,473 "," 110,951 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,"Computer occupations, all other"," 71,311 "," 71,961 "," 67,304 "," 60,717 "," 61,504 "," 55,807 "," 81,479 "," 82,217 "," 77,701 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Actuaries," 120,541 "," 131,490 "," 101,385 "," 43,855 ", - ," 37,117 "," 121,653 "," 132,497 "," 101,709 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Mathematicians," 121,912 "," 130,431 "," 81,991 ", - , - , - ," 122,083 "," 130,431 "," 82,207 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Operations research analysts," 81,922 "," 86,786 "," 77,230 "," 70,576 "," 75,141 "," 68,469 "," 86,587 "," 91,236 "," 82,377 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Statisticians," 82,322 "," 85,640 "," 80,949 "," 63,180 "," 71,222 "," 61,466 "," 85,383 "," 87,203 "," 81,792 ",
"Computer, Engineering, and Science Occupations",Computer and Mathematical Occupations,Miscellaneous mathematical science occupations," 72,492 "," 85,340 "," 62,167 "," 39,615 "," 39,615 ", - ," 73,323 "," 85,497 "," 62,167 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Architecture and Engineering Occupations," 82,181 "," 84,541 "," 72,380 "," 62,743 "," 65,308 "," 52,126 "," 91,947 "," 95,024 "," 80,891 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,"Architects, except naval"," 76,852 "," 81,551 "," 62,661 "," 66,241 "," 72,241 "," 50,499 "," 77,312 "," 82,156 "," 64,216 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,"Surveyors, cartographers, and photogrammetrists"," 61,960 "," 63,655 "," 55,840 "," 55,556 "," 55,350 "," 56,110 "," 63,711 "," 66,422 "," 55,793 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Aerospace engineers," 104,201 "," 106,021 "," 94,973 "," 88,560 "," 90,545 "," 61,679 "," 107,976 "," 109,789 "," 97,169 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Agricultural engineers," 84,283 "," 86,705 ", - ," 51,318 "," 51,318 ", - ," 87,596 "," 90,609 ", - ,
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Biomedical engineers," 82,345 "," 82,635 "," 80,583 "," 67,083 "," 67,900 "," 42,483 "," 87,435 "," 91,410 "," 82,527 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Chemical engineers," 101,393 "," 102,456 "," 86,019 "," 82,176 "," 83,697 "," 75,011 "," 102,259 "," 110,163 "," 87,149 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Civil engineers," 89,358 "," 90,919 "," 77,020 "," 70,482 "," 71,563 "," 57,131 "," 91,425 "," 92,515 "," 78,956 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Computer hardware engineers," 95,883 "," 97,606 "," 91,250 "," 70,847 "," 71,658 "," 51,045 "," 101,541 "," 101,806 "," 92,112 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Electrical and electronics engineers," 98,506 "," 100,180 "," 81,841 "," 77,043 "," 79,356 "," 62,341 "," 101,493 "," 101,882 "," 87,228 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Environmental engineers," 82,447 "," 86,401 "," 77,465 "," 65,943 "," 66,645 "," 58,537 "," 86,657 "," 90,931 "," 77,990 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,"Industrial engineers, including health and safety"," 80,733 "," 81,216 "," 77,730 "," 66,148 "," 68,925 "," 56,724 "," 85,849 "," 86,832 "," 82,832 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Marine engineers and naval architects," 91,506 "," 93,731 "," 80,877 "," 62,067 "," 66,852 ", - ," 96,176 "," 100,090 "," 81,736 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Materials engineers," 82,429 "," 82,485 "," 81,897 "," 73,278 "," 72,715 "," 82,900 "," 86,761 "," 87,497 "," 81,527 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Mechanical engineers," 86,117 "," 86,193 "," 85,389 "," 75,592 "," 75,924 "," 58,361 "," 90,536 "," 90,735 "," 86,850 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,"Mining and geological engineers, including mining safety engineers"," 96,798 "," 96,415 "," 115,370 "," 83,704 "," 83,299 ", - ," 101,741 "," 101,246 "," 116,991 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Nuclear engineers," 96,132 "," 99,346 "," 80,969 "," 97,495 "," 102,263 ", - ," 92,066 "," 95,656 "," 64,420 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Petroleum engineers," 142,356 "," 150,905 "," 119,559 "," 92,636 "," 93,479 "," 76,333 "," 151,373 "," 162,412 "," 123,636 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,"Engineers, all other"," 95,220 "," 96,649 "," 87,381 "," 76,117 "," 76,648 "," 67,054 "," 100,366 "," 100,982 "," 90,660 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Drafters," 55,371 "," 56,472 "," 50,908 "," 55,607 "," 56,344 "," 50,900 "," 54,062 "," 57,360 "," 50,914 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,"Engineering technicians, except drafters"," 57,113 "," 60,302 "," 49,720 "," 56,378 "," 59,395 "," 47,363 "," 61,245 "," 62,111 "," 52,522 ",
"Computer, Engineering, and Science Occupations",Architecture and Engineering Occupations,Surveying and mapping technicians," 51,045 "," 51,398 "," 47,103 "," 51,175 "," 51,482 "," 50,034 "," 47,090 "," 48,543 "," 45,796 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Occupations"," 66,956 "," 71,695 "," 61,832 "," 51,061 "," 54,421 "," 45,913 "," 71,368 "," 77,980 "," 65,076 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Agricultural and food scientists," 71,676 "," 72,506 "," 69,650 ", - , - , - ," 71,676 "," 72,506 "," 69,650 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Biological scientists," 62,739 "," 66,706 "," 59,630 ", - , - , - ," 62,739 "," 66,706 "," 59,630 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Conservation scientists and foresters," 61,001 "," 60,774 "," 61,812 ", - , - , - ," 61,001 "," 60,774 "," 61,812 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Medical scientists," 75,542 "," 81,373 "," 71,671 "," 71,015 "," 52,381 "," 75,241 "," 75,637 "," 81,531 "," 71,622 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations","Life scientists, all other"," 74,566 "," 81,388 "," 56,101 ", - , - , - ," 74,566 "," 81,388 "," 56,101 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Astronomers and physicists," 94,924 "," 101,448 "," 74,236 ", - , - , - ," 94,924 "," 101,448 "," 74,236 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Atmospheric and space scientists," 91,841 "," 92,595 "," 89,167 "," 69,154 "," 68,884 "," 103,118 "," 94,771 "," 96,054 "," 88,333 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Chemists and materials scientists," 71,622 "," 77,328 "," 65,543 "," 71,074 "," 73,309 "," 51,979 "," 71,687 "," 78,081 "," 65,898 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Environmental scientists and geoscientists," 75,379 "," 80,589 "," 61,889 ", - , - , - ," 75,379 "," 80,589 "," 61,889 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations","Physical scientists, all other"," 80,593 "," 90,389 "," 68,012 ", - , - , - ," 80,593 "," 90,389 "," 68,012 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Economists," 110,190 "," 111,789 "," 105,103 ", - , - , - ," 110,190 "," 111,789 "," 105,103 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Survey researchers," 64,491 "," 23,794 "," 70,550 "," 21,948 ", - , - ," 80,037 "," 45,341 "," 80,386 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Psychologists," 73,085 "," 90,586 "," 69,436 ", - , - , - ," 73,085 "," 90,586 "," 69,436 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Urban and regional planners," 70,961 "," 74,909 "," 65,413 "," 54,712 "," 54,354 "," 61,518 "," 72,606 "," 75,510 "," 65,617 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations","Miscellaneous social scientists and related workers, including sociologists"," 62,944 "," 69,262 "," 59,770 "," 36,313 "," 39,817 "," 26,913 "," 67,148 "," 72,099 "," 63,422 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Agricultural and food science technicians," 45,139 "," 49,623 "," 41,026 "," 44,494 "," 49,299 "," 39,689 "," 46,237 "," 52,270 "," 43,025 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Biological technicians," 50,515 "," 55,767 "," 42,650 "," 45,982 "," 50,906 "," 41,204 "," 58,176 "," 60,984 "," 55,350 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Chemical technicians," 54,636 "," 56,195 "," 49,996 "," 52,090 "," 53,842 "," 47,983 "," 60,770 "," 62,902 "," 51,569 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Geological and petroleum technicians," 72,869 "," 75,015 "," 70,152 "," 62,153 "," 62,337 "," 62,002 "," 89,561 "," 89,160 "," 90,559 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Nuclear technicians," 84,688 "," 87,628 "," 78,893 "," 82,521 "," 82,445 "," 85,640 "," 91,415 "," 92,311 "," 68,304 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations",Social science research assistants," 41,639 "," 50,678 "," 41,396 "," 41,187 "," 93,262 "," 40,963 "," 51,506 ", - ," 61,065 ",
"Computer, Engineering, and Science Occupations","Life, Physical, and Social Science Occupations","Miscellaneous life, physical, and social science technicians"," 45,592 "," 47,783 "," 43,026 "," 49,491 "," 51,142 "," 46,263 "," 41,864 "," 42,321 "," 41,391 ",
"Education, Legal, Community Service, Arts, and Media Occupations",,"Education, Legal, Community Service, Arts, and Media Occupations"," 51,605 "," 60,766 "," 48,507 "," 36,518 "," 46,184 "," 32,063 "," 55,327 "," 64,152 "," 51,646 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,Community and Social Service Occupations," 45,306 "," 46,553 "," 44,390 "," 36,797 "," 37,962 "," 36,421 "," 47,655 "," 50,122 "," 46,995 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,Counselors," 46,258 "," 47,145 "," 45,922 "," 35,958 "," 36,543 "," 35,650 "," 49,032 "," 51,005 "," 47,885 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,Social workers," 45,366 "," 45,359 "," 45,367 "," 37,265 "," 38,897 "," 37,148 "," 47,101 "," 47,082 "," 47,104 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,Probation officers and correctional treatment specialists," 49,780 "," 50,161 "," 49,373 "," 42,942 "," 44,129 "," 42,781 "," 51,572 "," 51,794 "," 51,404 ",
